id,mbti,location,preffered_category,travel_style,age,past_trip_rating,travel_frequency
1,INTJ,jakarta,pantai,solo,30,3,3
2,INTJ,medan,pantai,solo,43,4,2
3,INTJ,lombok,pantai,solo,27,4,3
4,INTJ,bali,pantai,solo,43,5,1
5,INTJ,padang,pantai,solo,65,5,2
6,INTJ,batam,pantai,solo,64,4,3
7,INTJ,yogyakarta,pantai,solo,32,4,3
8,INTJ,jakarta,pantai,family,21,5,3
9,INTJ,medan,pantai,family,46,3,5
10,INTJ,lombok,pantai,family,50,4,3
11,INTJ,bali,pantai,family,46,3,3
12,INTJ,padang,pantai,family,66,5,1
13,INTJ,batam,pantai,family,35,5,5
14,INTJ,yogyakarta,pantai,family,65,5,2
15,INTJ,jakarta,pantai,partner,53,5,2
16,INTJ,medan,pantai,partner,23,4,2
17,INTJ,lombok,pantai,partner,60,5,2
18,INTJ,bali,pantai,partner,65,3,4
19,INTJ,padang,pantai,partner,27,3,2
20,INTJ,batam,pantai,partner,34,3,3
21,INTJ,yogyakarta,pantai,partner,67,3,3
22,INTJ,jakarta,alam,solo,58,5,1
23,INTJ,medan,alam,solo,22,5,2
24,INTJ,lombok,alam,solo,36,3,5
25,INTJ,bali,alam,solo,69,3,3
26,INTJ,padang,alam,solo,56,4,5
27,INTJ,batam,alam,solo,65,4,3
28,INTJ,yogyakarta,alam,solo,21,3,5
29,INTJ,jakarta,alam,family,52,3,5
30,INTJ,medan,alam,family,60,4,5
31,INTJ,lombok,alam,family,35,5,3
32,INTJ,bali,alam,family,36,5,2
33,INTJ,padang,alam,family,48,3,3
34,INTJ,batam,alam,family,62,5,3
35,INTJ,yogyakarta,alam,family,42,5,5
36,INTJ,jakarta,alam,partner,63,3,1
37,INTJ,medan,alam,partner,63,5,2
38,INTJ,lombok,alam,partner,38,3,2
39,INTJ,bali,alam,partner,44,4,5
40,INTJ,padang,alam,partner,57,5,5
41,INTJ,batam,alam,partner,33,4,3
42,INTJ,yogyakarta,alam,partner,45,4,3
43,INTJ,jakarta,tujuan_wisata,solo,44,5,5
44,INTJ,medan,tujuan_wisata,solo,59,3,5
45,INTJ,lombok,tujuan_wisata,solo,33,4,2
46,INTJ,bali,tujuan_wisata,solo,64,5,3
47,INTJ,padang,tujuan_wisata,solo,68,5,1
48,INTJ,batam,tujuan_wisata,solo,68,4,4
49,INTJ,yogyakarta,tujuan_wisata,solo,43,4,2
50,INTJ,jakarta,tujuan_wisata,family,58,3,5
51,INTJ,medan,tujuan_wisata,family,47,4,5
52,INTJ,lombok,tujuan_wisata,family,47,3,5
53,INTJ,bali,tujuan_wisata,family,30,5,4
54,INTJ,padang,tujuan_wisata,family,60,3,5
55,INTJ,batam,tujuan_wisata,family,68,4,2
56,INTJ,yogyakarta,tujuan_wisata,family,63,3,1
57,INTJ,jakarta,tujuan_wisata,partner,59,5,1
58,INTJ,medan,tujuan_wisata,partner,24,3,4
59,INTJ,lombok,tujuan_wisata,partner,69,3,3
60,INTJ,bali,tujuan_wisata,partner,26,3,1
61,INTJ,padang,tujuan_wisata,partner,57,5,4
62,INTJ,batam,tujuan_wisata,partner,38,4,5
63,INTJ,yogyakarta,tujuan_wisata,partner,23,3,1
64,INTJ,jakarta,sejarah_budaya,solo,63,5,4
65,INTJ,medan,sejarah_budaya,solo,60,3,3
66,INTJ,lombok,sejarah_budaya,solo,57,4,2
67,INTJ,bali,sejarah_budaya,solo,55,3,2
68,INTJ,padang,sejarah_budaya,solo,27,3,3
69,INTJ,batam,sejarah_budaya,solo,63,5,4
70,INTJ,yogyakarta,sejarah_budaya,solo,21,3,5
71,INTJ,jakarta,sejarah_budaya,family,28,3,1
72,INTJ,medan,sejarah_budaya,family,48,5,3
73,INTJ,lombok,sejarah_budaya,family,21,5,5
74,INTJ,bali,sejarah_budaya,family,59,3,5
75,INTJ,padang,sejarah_budaya,family,62,3,4
76,INTJ,batam,sejarah_budaya,family,68,3,2
77,INTJ,yogyakarta,sejarah_budaya,family,28,3,4
78,INTJ,jakarta,sejarah_budaya,partner,41,4,1
79,INTJ,medan,sejarah_budaya,partner,31,4,3
80,INTJ,lombok,sejarah_budaya,partner,27,5,1
81,INTJ,bali,sejarah_budaya,partner,56,4,3
82,INTJ,padang,sejarah_budaya,partner,32,4,5
83,INTJ,batam,sejarah_budaya,partner,31,3,1
84,INTJ,yogyakarta,sejarah_budaya,partner,22,5,1
85,INTJ,jakarta,hotel,solo,40,3,1
86,INTJ,medan,hotel,solo,37,5,4
87,INTJ,lombok,hotel,solo,67,3,5
88,INTJ,bali,hotel,solo,48,3,1
89,INTJ,padang,hotel,solo,23,3,1
90,INTJ,batam,hotel,solo,48,3,1
91,INTJ,yogyakarta,hotel,solo,21,3,3
92,INTJ,jakarta,hotel,family,68,4,1
93,INTJ,medan,hotel,family,62,4,4
94,INTJ,lombok,hotel,family,54,3,4
95,INTJ,bali,hotel,family,22,5,5
96,INTJ,padang,hotel,family,24,3,4
97,INTJ,batam,hotel,family,67,5,5
98,INTJ,yogyakarta,hotel,family,56,4,3
99,INTJ,jakarta,hotel,partner,62,5,3
100,INTJ,medan,hotel,partner,25,3,5
101,INTJ,lombok,hotel,partner,39,5,2
102,INTJ,bali,hotel,partner,52,3,1
103,INTJ,padang,hotel,partner,70,3,3
104,INTJ,batam,hotel,partner,23,5,1
105,INTJ,yogyakarta,hotel,partner,65,3,5
106,INTJ,jakarta,tourist_attraction,solo,40,5,5
107,INTJ,medan,tourist_attraction,solo,46,5,3
108,INTJ,lombok,tourist_attraction,solo,42,5,2
109,INTJ,bali,tourist_attraction,solo,56,3,5
110,INTJ,padang,tourist_attraction,solo,38,5,1
111,INTJ,batam,tourist_attraction,solo,37,4,1
112,INTJ,yogyakarta,tourist_attraction,solo,41,5,4
113,INTJ,jakarta,tourist_attraction,family,69,4,3
114,INTJ,medan,tourist_attraction,family,51,5,5
115,INTJ,lombok,tourist_attraction,family,39,4,5
116,INTJ,bali,tourist_attraction,family,57,3,3
117,INTJ,padang,tourist_attraction,family,62,5,5
118,INTJ,batam,tourist_attraction,family,51,4,5
119,INTJ,yogyakarta,tourist_attraction,family,23,3,3
120,INTJ,jakarta,tourist_attraction,partner,52,5,4
121,INTJ,medan,tourist_attraction,partner,60,4,2
122,INTJ,lombok,tourist_attraction,partner,28,5,5
123,INTJ,bali,tourist_attraction,partner,21,5,5
124,INTJ,padang,tourist_attraction,partner,45,4,4
125,INTJ,batam,tourist_attraction,partner,51,4,4
126,INTJ,yogyakarta,tourist_attraction,partner,66,4,4
127,INTJ,jakarta,budaya_sejarah,solo,61,5,4
128,INTJ,medan,budaya_sejarah,solo,51,4,5
129,INTJ,lombok,budaya_sejarah,solo,34,4,1
130,INTJ,bali,budaya_sejarah,solo,50,3,1
131,INTJ,padang,budaya_sejarah,solo,46,5,1
132,INTJ,batam,budaya_sejarah,solo,53,4,5
133,INTJ,yogyakarta,budaya_sejarah,solo,43,5,2
134,INTJ,jakarta,budaya_sejarah,family,38,4,1
135,INTJ,medan,budaya_sejarah,family,47,5,4
136,INTJ,lombok,budaya_sejarah,family,24,4,4
137,INTJ,bali,budaya_sejarah,family,27,4,3
138,INTJ,padang,budaya_sejarah,family,19,5,1
139,INTJ,batam,budaya_sejarah,family,22,3,1
140,INTJ,yogyakarta,budaya_sejarah,family,19,4,4
141,INTJ,jakarta,budaya_sejarah,partner,65,5,3
142,INTJ,medan,budaya_sejarah,partner,38,3,5
143,INTJ,lombok,budaya_sejarah,partner,48,4,1
144,INTJ,bali,budaya_sejarah,partner,66,3,2
145,INTJ,padang,budaya_sejarah,partner,63,3,5
146,INTJ,batam,budaya_sejarah,partner,46,3,3
147,INTJ,yogyakarta,budaya_sejarah,partner,57,3,3
148,INTJ,jakarta,taman,solo,37,5,4
149,INTJ,medan,taman,solo,51,4,4
150,INTJ,lombok,taman,solo,63,4,4
151,INTJ,bali,taman,solo,62,4,4
152,INTJ,padang,taman,solo,53,5,2
153,INTJ,batam,taman,solo,62,3,1
154,INTJ,yogyakarta,taman,solo,55,4,5
155,INTJ,jakarta,taman,family,58,5,5
156,INTJ,medan,taman,family,49,4,4
157,INTJ,lombok,taman,family,70,5,5
158,INTJ,bali,taman,family,19,5,4
159,INTJ,padang,taman,family,53,4,5
160,INTJ,batam,taman,family,66,4,2
161,INTJ,yogyakarta,taman,family,36,3,3
162,INTJ,jakarta,taman,partner,26,4,5
163,INTJ,medan,taman,partner,60,5,3
164,INTJ,lombok,taman,partner,60,3,5
165,INTJ,bali,taman,partner,26,4,3
166,INTJ,padang,taman,partner,50,4,5
167,INTJ,batam,taman,partner,34,4,5
168,INTJ,yogyakarta,taman,partner,29,3,5
169,INTJ,jakarta,hiking_area,solo,68,3,5
170,INTJ,medan,hiking_area,solo,22,3,4
171,INTJ,lombok,hiking_area,solo,25,3,2
172,INTJ,bali,hiking_area,solo,45,5,4
173,INTJ,padang,hiking_area,solo,58,5,4
174,INTJ,batam,hiking_area,solo,65,3,2
175,INTJ,yogyakarta,hiking_area,solo,69,5,5
176,INTJ,jakarta,hiking_area,family,51,4,5
177,INTJ,medan,hiking_area,family,49,4,2
178,INTJ,lombok,hiking_area,family,23,3,2
179,INTJ,bali,hiking_area,family,47,3,4
180,INTJ,padang,hiking_area,family,29,4,3
181,INTJ,batam,hiking_area,family,45,5,3
182,INTJ,yogyakarta,hiking_area,family,32,3,2
183,INTJ,jakarta,hiking_area,partner,34,3,1
184,INTJ,medan,hiking_area,partner,23,3,5
185,INTJ,lombok,hiking_area,partner,48,3,3
186,INTJ,bali,hiking_area,partner,59,3,2
187,INTJ,padang,hiking_area,partner,20,4,4
188,INTJ,batam,hiking_area,partner,70,4,1
189,INTJ,yogyakarta,hiking_area,partner,20,3,2
190,INTJ,jakarta,rekreasi_keluarga,solo,37,3,5
191,INTJ,medan,rekreasi_keluarga,solo,42,5,3
192,INTJ,lombok,rekreasi_keluarga,solo,66,3,5
193,INTJ,bali,rekreasi_keluarga,solo,32,3,4
194,INTJ,padang,rekreasi_keluarga,solo,38,4,3
195,INTJ,batam,rekreasi_keluarga,solo,30,4,2
196,INTJ,yogyakarta,rekreasi_keluarga,solo,32,3,5
197,INTJ,jakarta,rekreasi_keluarga,family,38,5,3
198,INTJ,medan,rekreasi_keluarga,family,38,3,1
199,INTJ,lombok,rekreasi_keluarga,family,34,4,2
200,INTJ,bali,rekreasi_keluarga,family,32,5,4
201,INTJ,padang,rekreasi_keluarga,family,54,4,3
202,INTJ,batam,rekreasi_keluarga,family,70,3,1
203,INTJ,yogyakarta,rekreasi_keluarga,family,69,3,5
204,INTJ,jakarta,rekreasi_keluarga,partner,62,3,4
205,INTJ,medan,rekreasi_keluarga,partner,38,4,2
206,INTJ,lombok,rekreasi_keluarga,partner,55,3,2
207,INTJ,bali,rekreasi_keluarga,partner,67,3,4
208,INTJ,padang,rekreasi_keluarga,partner,41,3,5
209,INTJ,batam,rekreasi_keluarga,partner,68,4,5
210,INTJ,yogyakarta,rekreasi_keluarga,partner,68,4,3
211,INTJ,jakarta,snorkling_area,solo,50,5,5
212,INTJ,medan,snorkling_area,solo,28,3,2
213,INTJ,lombok,snorkling_area,solo,70,4,4
214,INTJ,bali,snorkling_area,solo,63,4,2
215,INTJ,padang,snorkling_area,solo,33,3,5
216,INTJ,batam,snorkling_area,solo,63,4,5
217,INTJ,yogyakarta,snorkling_area,solo,65,3,2
218,INTJ,jakarta,snorkling_area,family,21,4,2
219,INTJ,medan,snorkling_area,family,18,3,4
220,INTJ,lombok,snorkling_area,family,19,3,1
221,INTJ,bali,snorkling_area,family,60,5,4
